رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
1,2023-12-31,قيد يدوي رقم 1 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,231527.6,,
1,2023-12-31,قيد يدوي رقم 1 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1488766.64,,
1,2023-12-31,قيد يدوي رقم 1 - أنشئ بواسطة محاسب ارمي,3101,رأس المال المسجل,,25000.0,
1,2023-12-31,قيد يدوي رقم 1 - أنشئ بواسطة محاسب ارمي,3201,جاري الشريك بدر القرني,,1500000.0,
1,2023-12-31,قيد يدوي رقم 1 - أنشئ بواسطة محاسب ارمي,3202,جاري الشريك سالم بالحارث,,195294.24,
2,2024-01-02,قيد يدوي رقم 2 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,575.0,,
2,2024-01-02,قيد يدوي رقم 2 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,575.0,
78,2024-01-03,قيد يدوي رقم 78 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,17400.0,,
78,2024-01-03,قيد يدوي رقم 78 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,17400.0,
79,2024-01-03,قيد يدوي رقم 79 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,107383.63,,
79,2024-01-03,قيد يدوي رقم 79 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,107383.63,
76,2024-01-05,قيد يدوي رقم 76 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,438.73,,
76,2024-01-05,قيد يدوي رقم 76 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,438.73,
77,2024-01-05,قيد يدوي رقم 77 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,172.5,,
77,2024-01-05,قيد يدوي رقم 77 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,172.5,
94,2024-01-17,قيد يدوي رقم 94 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,28000.0,,
94,2024-01-17,قيد يدوي رقم 94 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,28000.0,
54,2024-01-20,قيد يدوي رقم 54 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,13460.0,,
54,2024-01-20,قيد يدوي رقم 54 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,13460.0,
55,2024-01-20,قيد يدوي رقم 55 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1553.5,,
55,2024-01-20,قيد يدوي رقم 55 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1553.5,
57,2024-01-20,قيد يدوي رقم 57 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,700.0,,
57,2024-01-20,قيد يدوي رقم 57 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,700.0,
58,2024-01-20,قيد يدوي رقم 58 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,2710.84,,
58,2024-01-20,قيد يدوي رقم 58 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2710.84,
75,2024-01-20,قيد يدوي رقم 75 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,6028.31,,
75,2024-01-20,قيد يدوي رقم 75 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,495.65,
75,2024-01-20,قيد يدوي رقم 75 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,5532.66,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,100000.0,,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,100000.0,,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,31500.0,,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,100000.0,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,100000.0,
6,2024-01-30,قيد يدوي رقم 6 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,31500.0,
7,2024-02-19,قيد يدوي رقم 7 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,200000.0,,
7,2024-02-19,قيد يدوي رقم 7 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,200000.0,
13,2024-02-19,قيد يدوي رقم 13 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,200000.0,,
