??? ??????,??? ??????,??? ??????,?????? ????,???? ???????
1,??????,????,Ñ,??????
11,?????? ?????????,????,??????,??????
111,??????? ??? ?? ?????,????,?????? ?????????,??????
111001,??????? ?????? - ??????? ??????,????,??????? ??? ?? ?????,???? ????
111002,????? ????? ??????/???????,????,??????? ??? ?? ?????,???? ????
111003,???? ????? ?????? 12300001016808,????,??????? ??? ?? ?????,???? ????
111004,??? ???????,????,??????? ??? ?? ?????,???? ????
111005,????? ????? ????? ?????,????,??????? ??? ?? ?????,???? ????
112,????? ??????? ????????,????,?????? ?????????,??????
112001,????? - ?????? ????/????,????,????? ??????? ????????,???? ????
112002,????? - ?????? ?????/?????,????,????? ??????? ????????,???? ????
112003,????? ???,????,????? ??????? ????????,???? ????
112004,????? - ????? ??? ?????,????,????? ??????? ????????,???? ????
112005,???? ???? ????? ?? ??????? (????),????,????? ??????? ????????,???? ????
113,??? ????? ????,????,?????? ?????????,??????
113001,????? ????? ???????,????,??? ????? ????,???? ????
113002,??? ????? ????????,????,??? ????? ????,???? ????
113003,????? ?????? ??????? - ????? (???????),????,??? ????? ????,???? ????
113004,??????? ?????? ????? ?????????,????,??? ????? ????,???? ????
113005,??? ????? ?????? ??????? ??????????,????,??? ????? ????,???? ????
113006,???? ????,????,??? ????? ????,???? ????
113007,???? ?????? ??????,????,??? ????? ????,???? ????
113008,???? ???? ??????,????,??? ????? ????,???? ????
113009,???? ??? ????????,????,??? ????? ????,???? ????
113010,???? ????? ????,????,??? ????? ????,???? ????
113011,???? ??? ???? ?????,????,??? ????? ????,???? ????
113012,???? ??? ????? ?????,????,??? ????? ????,???? ????
113013,????? ?? ????,????,??? ????? ????,???? ????
113014,????????? ??????? ?? ????,????,??? ????? ????,???? ????
113015,???? ????? ??????,????,??? ????? ????,???? ????
113016,??? ????? ???,????,??? ????? ????,???? ????
113017,??? ???? ?????????,????,??? ????? ????,???? ????
113018,??? (???? ???????),????,??? ????? ????,???? ????
113019,??????? ??? ???? (???? ???????),????,??? ????? ????,???? ????
113020,???? ??? ????,????,??? ????? ????,???? ????
113021,???? ?????,????,??? ????? ????,???? ????
113022,???? ?????,????,??? ????? ????,???? ????
113023,???? ????,????,??? ????? ????,???? ????
113024,???? ????,????,??? ????? ????,???? ????
113025,???? ??????? ????,????,??? ????? ????,???? ????
113026,???? ????,????,??? ????? ????,???? ????
113027,???? ?????? ????,????,??? ????? ????,???? ????
114,???????,????,?????? ?????????,??????
114001,????? ???? ???,????,???????,???? ????
114002,????? ???? ????? ??????,????,???????,???? ????
114003,????? ????? ??? ??????? (WIP),????,???????,???? ????
114004,????? ????? ???? ?????,????,???????,???? ????
114005,????? ??? ???? ?????? ??????,????,???????,???? ????
114006,???? ??? ???? ???? ??????? (????),????,???????,???? ????
114007,???????? ???? ?? ??????,????,???????,???? ????
115,??????? ?????? ??????,????,?????? ?????????,??????
115001,??????? ?????? ??????,????,??????? ?????? ??????,???? ????
115002,????? ????? ??????,????,??????? ?????? ??????,???? ????
115003,???????? ???? ?????? ??????,????,??????? ?????? ??????,???? ????
116,????? ??????? ????????? ???????,????,?????? ?????????,??????
116001,????? ????? ??? ???????,????,????? ??????? ????????? ???????,???? ????
116002,???????? ??????? (LC) ??????,????,????? ??????? ????????? ???????,???? ????
12,?????? ??? ?????????,????,??????,??????
121,????????? ??????? ????????,????,?????? ??? ?????????,??????
121000,???? ????? ????,????,????????? ??????? ????????,???? ????
121001,?????,????,????????? ??????? ????????,???? ????
121002,????? ??????,????,????????? ??????? ????????,???? ????
121003,???? ??????,????,????????? ??????? ????????,???? ????
121004,?????? ?????? ???,????,????????? ??????? ????????,???? ????
121005,???? ???????? ??????,????,????????? ??????? ????????,???? ????
121006,????? ???? ???,????,????????? ??????? ????????,???? ????
121007,??????? ??? ?????,????,????????? ??????? ????????,???? ????
121008,???? ??????? (????),????,????????? ??????? ????????,???? ????
121009,???? ?????? ?????? ???????,????,????????? ??????? ????????,???? ????
122,???? ??? ??????,????,?????? ??? ?????????,??????
122001,????? ??????,????,???? ??? ??????,???? ????
122002,???? ?????,????,???? ??? ??????,???? ????
122003,?????? ????????? ??????,????,???? ??? ??????,???? ????
122004,???? ????????? (????),????,???? ??? ??????,???? ????
123,????????? ????? ???? ??? ???????,????,?????? ??? ?????????,??????
123001,????????? ????? ?????,????,????????? ????? ???? ??? ???????,???? ????
123002,??????? ?????? ????? ?????,????,????????? ????? ???? ??? ???????,???? ????
123003,?? ??????? ???? ??????? (IFRS16),????,????????? ????? ???? ??? ???????,???? ????
2,??????????,????????,Ñ,??????
21,?????????? ?????????,????????,??????????,??????
211,????? ??????? ????????,????????,?????????? ?????????,??????
211001,?????? - ??????,????????,????? ??????? ????????,???? ????
211002,?????? - ????????,????????,????? ??????? ????????,???? ????
211003,????? ???,????????,????? ??????? ????????,???? ????
211004,?????? - ????? ??? ?????,????????,????? ??????? ????????,???? ????
211005,????? ???? ??? - ???,????????,????? ??????? ????????,???? ????
212,??????? ??????,????????,?????????? ?????????,??????
212001,????? ??????,????????,??????? ??????,???? ????
212002,??????? ??????,????????,??????? ??????,???? ????
212003,??????? ?????? ????,????????,??????? ??????,???? ????
212004,?????? ????? ?????? - ????? ????????,????????,??????? ??????,???? ????
213,???????? ?????? ??????,????????,?????????? ?????????,??????
213000,??????? ???????? ??????,????????,???????? ?????? ??????,???? ????
213001,????? ?????? ??????? ???????? (??????),????????,???????? ?????? ??????,???? ????
213002,?????? ????????,????????,???????? ?????? ??????,???? ????
213003,????? ?????????,????????,???????? ?????? ??????,???? ????
214,???? ????? ?????,????????,?????????? ?????????,??????
214001,??? ???? ???? ?????,????????,???? ????? ?????,???? ????
214002,????? ???????? ?? ?????? ????? ?????,????????,???? ????? ?????,???? ????
215,????? ????? ???????? ????,????????,?????????? ?????????,??????
215001,????? ????? ?? ?????,????????,????? ????? ???????? ????,???? ????
