كود مستوى 1,اسم المستوى الأول,كود مستوى 2,اسم المستوى الثاني,كود مستوى 3,اسم المستوى الثالث,كود مستوى 4,اسم المستوى الرابع (حساب تفصيلي),طبيعة الحساب,القائمة المالية
1,الأصول,11,الأصول المتداولة,111,النقدية وما في حكمها,1111,الصندوق النقدي - الإدارة العامة,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,111,النقدية وما في حكمها,1112,صندوق نثرية الفروع/المواقع,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,111,النقدية وما في حكمها,1113,بنك - حساب جاري (1),مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,111,النقدية وما في حكمها,1114,بنك - حساب جاري (2),مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,111,النقدية وما في حكمها,1115,ودائع بنكية قصيرة الأجل,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,112,الذمم المدينة التجارية,1121,عملاء - مبيعات جملة/عقود,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,112,الذمم المدينة التجارية,1122,عملاء - مبيعات نقدية/تجزئة,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,112,الذمم المدينة التجارية,1123,أوراق قبض,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,112,الذمم المدينة التجارية,1124,عملاء - أطراف ذات علاقة,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,112,الذمم المدينة التجارية,1125,مخصص ديون مشكوك في تحصيلها (عكسي),مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,113,ذمم مدينة أخرى,1131,دفعات مقدمة لموردين,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,113,ذمم مدينة أخرى,1132,سلف وقروض الموظفين,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,113,ذمم مدينة أخرى,1133,ضريبة القيمة المضافة - مدينة (مشتريات),مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,113,ذمم مدينة أخرى,1134,تأمينات وودائع قابلة للاسترداد,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,113,ذمم مدينة أخرى,1135,عمولات مستحقة من الموردين/الوكالات,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,114,المخزون,1141,مخزون بضاعة للبيع - محلي,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,114,المخزون,1142,مخزون بضاعة للتصدير,مدين,قائمة المركز المالي
